ttc,desc
0,Покупка.ТУ СБ РФ
1,Покупка. POS ТУ СБ РФ
2,Оплата услуги. Банкоматы СБ РФ
3,Покупка. ТУ  Россия
4,Покупка. POS ТУ Россия
5,Покупка. Зарубеж. ТУ
6,Покупка. POS  Зарубеж. ТУ
7,н/д
8,н/д
9,н/д
10,Наличные. СБ РФ
11,Выдача наличных в подразделении Сбербанка (в других ТБ) 
12,Выдача наличных в АТМ Сбербанк России
13,Выдача наличных в АТМ Сбербанка (в других ТБ)
14,Выдача наличных через POS Сбербанка
15,Выдача наличных через POS Сбербанка (в других ТБ)
16,Наличные.  Россия
17,Наличные.   АТМ Россия
18,Наличные.  Зарубеж. банк
19,Наличные.  АТМ Зарубеж. банк
20,Безналичный перевод денежных средств через POS
21,Платеж с карты через ВСП
22,Платеж с карты через АТМ
23,Платеж с карты через Сбербанк ОнЛ@йн
24,н/д
25,Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного тер.банка)
26,Списание с карты по операции “перевода с карты на карту” через АТМ (из одного ТБ в другой ТБ)
27,Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного филиала)
28,Списание с карты по операции “перевода с карты на карту” через POS (в пределах одного тер.банка)
29,Списание с карты по операции “перевода с карты на карту” через POS (из одного ТБ в другой ТБ)
30,Списание с карты по операции “перевода с карты на карту” через POS (в пределах одного филиала)
31,Погашение кредита (в пределах одного филиала)
32,Погашение кредита с карты через ВСП
33,Погашение кредита с карты через АТМ
34,Погашение кредита с карты через Сбербанк ОнЛ@йн
35,Погашение кредита с карты по поручению клиента автомат.
36,н/д
37,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии)
38,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (с комиссией)
39,Перевод средств с карты на счет клиента в ВСП
40,Перевод средств с карты на счет клиента через АТМ
41,Перевод средств с карты на счет клиента через Сбербанк ОнЛ@йн
42,Перевод средств с карты на счет клиента по поручению автомат.
43,Перевод с карты на счет др.лица в одном тер. банке через ВСП
44,Перевод с карты на счет др.лица в одном тер. банке через АТМ
45,Перевод с карты на счет др.лица в одном тер. банке через Сбербанк ОнЛ@йн
46,Перевод с карты на счет др.лица в одном тер. банке по поручению автомат.
47,Перевод с карты на счет физ.лица в другом тер. банке через ВСП
48,Перевод с карты на счет физ.лица в другом тер. банке через АТМ
49,Перевод с карты на счет физ.лица в другом тер. банке через Сбербанк ОнЛ@йн
50,Перевод с карты на счет физ.лица в другом тер. банке по поручению автомат.
51,Перевод с карты на счет физ.лица в другом банке через ВСП
52,Перевод с карты на счет физ.лица в другом банке через АТМ
53,Перевод с карты на счет физ.лица в другом банке через Сбербанк ОнЛ@йн
54,Перевод с карты на счет физ.лица в другом банке по поручению автомат.
55,н/д
56,Выдача наличных средств без предъявления карты
57,Безналичное списание денежных средств со счета без предъявления карты
58,Списание по требованию
59,Списание средств для погашения задолженности по др.карте Держателя
60,Комиссия за обслуживание ссудного счета
61,Плата за обслуживание банковской карты (за последующие годы)
62,Плата за досрочный перевыпуск карты
63,Плата за предоставление услуг посредством мобильной связи
64,Плата за предоставление отчета по счету карты почтой
65,н/д
66,Плата за обслуживание банковской карты (за первый год)
67,н/д
68,Плата за получение наличных в Сбербанке
69,Плата за получение наличных в Сбербанке (в других ТБ)
70,Плата за получение наличных в АТМ Сбербанка
71,Плата за получение наличных в АТМ Сбербанка (в других ТБ)
72,Плата за получение наличных через POS в Сбербанке
73,Плата за получение наличных через POS в Сбербанке (в других ТБ)
74,Плата за взнос наличных через АТМ (в своем тер.банке)
75,Плата за взнос наличных через АТМ (в другом тер.банке)
76,н/д
77,Плата за взнос наличных через POS (в своем тер.банке)
78,Плата за взнос наличных через POS (в другом тер.банке)
79,н/д
80,Плата за перевод на карту (с карты) через АТМ (в пределах одного тер.банка)
81,Плата за перевод на карту (с карты) через АТМ (из одного ТБ в другой ТБ)
82,Плата за перевод на карту (с карты) через АТМ (в пределах одного филиала)
83,Плата за перевод на карту (с карты) через POS (в пределах одного тер.банка)
84,Плата за перевод на карту (с карты) через POS (из одного ТБ в другой ТБ)
85,Плата за перевод на карту (с карты) через POS (в пределах одного филиала)
86,Плата за перевод на карту (с карты) через Мобильный банк
87,Оплата услуг банка через ВСП
88,Оплата услуг банка через АТМ
89,Оплата услуг банка через Сбербанк ОнЛ@йн
90,Оплата услуг банка по поручению автомат.
91,н/д
92,Плата за получение наличных. Россия
93,Плата за получение наличных в АТМ. Россия
94,Плата за получение наличных. Зарубеж.
95,Плата за получение наличных в АТМ. Зарубеж.
96,Плата за получение баланса в чужом АТМ
97,Плата за получение через АТМ выписки о 10 последних операциях по карте
98,Плата за превыш.лимита
99,н/д
100,Списание % за овердрафт
101,Возврат  покупки. ТУ СБ РФ
102,Возврат  покупки. POS ТУ СБ РФ
103,Возврат  покупки. ТУ Россия
104,Возврат покупки. POS ТУ Россия
105,Возврат  покупки. Зарубеж. ТУ
106,Возврат покупки.POS Зарубеж. ТУ
107,Пополнение счета в подразд. СБ РФ
108,Взнос наличных через АТМ (в своем тер.банке)
109,Взнос наличных через АТМ
110,Взнос наличных через АТМ (в своем ТБ) по счету в овердрафте
111,Взнос наличных через АТМ (в других ТБ) по счету в овердрафте
112,Взнос наличных через POS
113,Взнос наличных через POS
114,Взнос наличных через POS (в своем ТБ) по счету в овердрафте
115,Взнос наличных через POS (в других ТБ) по счету в овердрафте
116,Перевод на карту (с карты) через АТМ (в пределах одного тер.банка)
117,Перевод на карту (с карты) через АТМ (из одного ТБ в другой ТБ)
118,Перевод на карту (с карты) через АТМ (в пределах одного филиала)
119,Перевод на карту/ с карты через АТМ (без взимания комиссии с отправителя) по счету в овердрафте
120,Перевод на карту/ с карты через АТМ (со взиманием комиссии с отправителя) по счету в овердрафте
121,Перевод на карту (с карты) через POS (в пределах одного тер.банка)
122,Перевод на карту (с карты) через POS (из одного ТБ в другой ТБ)
123,Перевод на карту (с карты) через POS (в пределах одного филиала)
124,Перевод на карту/ с карты через POS (без взимания комиссии с отправителя) по счету в овердрафте
125,Перевод на карту/ с карты через POS (со взиманием комиссии с отправителя) по счету в овердрафте
126,Пополнение счета на сумму причисленных процентов
127,Пополнение счета для погашения задолженности по карте
128,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя)
129,Перевод на карту (с карты) через Мобильный банк (с взиманием комиссии с отправителя)
130,Перевод с карты на карту в овердрафте через Мобильный банк (без взимания комиссии)
131,Перевод с карты на карту в овердрафте через Мобильный банк (со взиманием комиссии)
132,Перевод/пополнение со счета на карту через УС (БП)
133,Перевод/пополнение со счета на карту через Интернет (БП)
134,н/д
135,Межфилиальные пополнения зарплатных карт
136,Межфилиальные пополнения зарплатных карт по счету в овердрафте
137,Межфилиальные перечисления процентов
138,Межфилиальные перечисления процентов по счету карты в овердрафте
139,Поправки по счету клиен. Зачисл.
140,Установление расх. лимита по 
141,Увеличение расходного лимита
142,Списание подоходного налога с нерезидента
143,Списание. Счет закрыт.
144,Перевод средств с карты Visa Classic (E/M Standard) на V(E/M) Gold
145,Списание после проведения претензионной работы
146,Операции по утраченной карте
147,Зачисление до завершения претензионной работы
148,н/д
149,Корректировка зачисления
150,Урегулирование безнадежной задолженности 
151,Плата за приост. действия карты
152,Плата за обработку счета банковской карты клиента при осущ. платежной системой экстренной выдачи наличных денежных средств
153,Плата за предоставление по запросу клиента документов по операции с картой
154,XXX
